Time,p1,p2,p3,p4
1,0.0266267086474409,-0.347508239431487,-5.05475973096809,275.180058982185
2,0.0191491238405578,-0.266976028115448,-5.35353611130587,276.93830798042
3,0.00914722203019173,-0.124162605160993,-5.63728651024415,276.363773996088
4,0.00854065488197606,-0.156253032058909,-5.29273637131273,277.130262075197
5,0.0108070946662277,-0.148229596387402,-5.58289951797545,277.419036352644
6,0.0192781876922639,-0.240751189459824,-5.35266473481038,277.016916351075
7,-0.00112523811739272,-0.0166653978966986,-5.65478448701729,277.180679351008
8,0.0211952256611757,-0.345963231648333,-4.65786905419858,277.528985936024
9,0.0138089314912269,-0.191026549652127,-5.40288648938773,278.043310347144
10,0.0188419240195232,-0.267336593699453,-4.81563848848073,274.901459420001
11,0.0377153734843028,-0.466168391332058,-4.62671468777748,273.200506335803
12,0.0170624726533126,-0.17889635538906,-5.63837486111845,274.812902000957
13,0.0258990842572667,-0.349247100068019,-4.96802949445787,276.379904606294
14,0.0219749181959935,-0.284632615576568,-5.28900597770452,277.366248648089
15,0.0151653113627131,-0.116612376815845,-6.0631742262257,276.064843846485
16,0.0204062002342717,-0.202389186161655,-5.58032295785653,274.719162293258
17,0.036564103096122,-0.473227405840426,-4.43734896567594,274.147756128792
18,0.0266358889487058,-0.355693051030427,-4.64694528378359,275.18506010928
19,0.0106398482884283,-0.121578414006931,-5.54342112779102,276.332709255594
20,0.0269936549174543,-0.351068768559708,-4.82966066430786,275.169614937519
21,0.0391223059562895,-0.497963149406705,-4.5900094708568,274.169627153842
22,0.026321023932969,-0.332937064145785,-4.94265177863324,274.864284954708
23,0.0170180460230348,-0.180807276500561,-5.6177968563562,276.227401753784
24,0.0282132268327909,-0.397935381144702,-4.48401062076804,274.738655140472
25,0.0169343643569697,-0.215507812387543,-4.95767439199172,272.647022295392
26,0.012743535569964,-0.146565698493529,-5.38223005112655,274.147086223624
27,0.0185250233831905,-0.202472658559684,-5.13352559167476,272.005113868829
28,0.0248529839246481,-0.288122634227804,-4.88284096344312,272.510307665201
29,0.0215249815826664,-0.244705589465748,-4.94353170184462,272.501990626145
30,0.0318933609261659,-0.389718454851344,-4.64516510393546,272.382533450435
31,0.0420483854757281,-0.553271042934956,-4.18907671978703,273.14968687739
32,0.036922701313851,-0.473964323599516,-4.45349028331955,272.782098590301
33,0.03387294234403,-0.410029265549521,-4.74886839571089,272.402727831845
34,0.0431656764843486,-0.58127803293243,-4.12330012579949,273.44509913071
35,0.0238421115593874,-0.326528942611684,-4.92505214583871,275.025974135137
36,0.0124507372164536,-0.139009044644029,-5.6923978951618,275.617593279931
37,0.0325696991768813,-0.431288087150376,-4.57111005035444,273.911324323413
38,0.0231643276626295,-0.305183960371729,-5.0384784216159,274.689815582844
39,0.0240079300645326,-0.327789577617618,-4.79805454244113,274.317404376379
40,0.0263482098803789,-0.348863511073065,-4.86064183920836,276.251292265815
41,0.0351027060241511,-0.475858485793347,-4.49958015934607,275.929869629152
42,0.0337609419280675,-0.440197060787924,-4.7682078605013,275.465834875554
43,0.0305789105529485,-0.3986807758912,-4.87809280390884,274.888444417095
44,0.0406445784511352,-0.542116075041453,-4.39717971430086,274.715483373709
45,0.0245565944773404,-0.293260407656557,-5.37611067160541,276.325462584239
46,0.00910556462640912,-0.0956472289423645,-5.52925550723811,274.680409475557
47,0.00443597279501167,-0.0139734090171469,-5.9031867903458,274.630612385913
48,0.0104596090862694,-0.126112309461773,-5.49413675830687,275.393570262276
49,0.0253883012615097,-0.261672289519647,-5.53402180824579,274.833806724527
50,-0.00178776599219467,0.12466907726336,-6.76763994301889,274.050827720347
51,0.0368293312829813,-0.515395125149898,-4.32850545004747,274.638120046705
52,0.0117701769321405,-0.14750691338141,-5.45965460228709,274.333596795559
53,0.0156048578895279,-0.164843594703535,-5.61152932770592,275.722894469885
54,0.0171682571463214,-0.227119204772901,-5.2350868280266,278.059975288407
55,0.0151491785305589,-0.219380684642014,-5.30375098001618,279.050065154463
56,0.0245366389723669,-0.369921218198024,-4.83196077370304,279.639936873338
57,0.00687878623665659,-0.131452851047209,-5.45092870599632,279.839333760909
58,0.00743327088697088,-0.179198747272319,-5.0533332914131,280.014324841109
59,0.00505320214729135,-0.109706755885814,-5.26207869265507,277.783329368093
60,-0.0119454580169371,0.216291798812169,-6.72347797724042,276.88941671167
61,-0.00426208578684225,0.0796535175251144,-6.23775177147516,278.178716040194
62,0.00249093469608414,-0.00733207029337645,-6.10370739384709,278.53327728964
63,0.000970883741695451,0.0199352254327753,-6.02732009417065,277.561964136544
64,0.0191420857264196,-0.252099281980767,-5.20783296061817,277.853593056611
65,0.0454352384192582,-0.631456243889586,-4.19380781550606,277.60900789281
66,0.0335748926442347,-0.495927805178492,-4.48390481783912,279.738991837126
67,0.018166882698802,-0.291211054799865,-5.0219749342425,280.608850127951
68,0.0133382564224707,-0.225137505784603,-5.13450596396165,280.260701143852
69,0.0139677989721321,-0.167726170936627,-5.52327847282969,278.49954874933
70,0.00628841007278097,-0.0456279316620955,-6.11004195024869,279.926426022003
71,0.0174474958153588,-0.214385086822386,-5.52594186059179,280.220594926945
72,0.0253889548852416,-0.376573789148734,-4.84284246158837,280.971464972479
73,0.0195553568008416,-0.280929702653001,-5.47568361649209,281.899887931007
74,-0.000950771447536665,-0.0634016539681211,-5.63599835169984,282.057682980877
75,0.015346962641227,-0.337289228141767,-4.61465280902494,282.271211295359
76,0.0198046979906532,-0.355156545802496,-4.6667927643241,280.579325242426
77,0.0119654399786457,-0.260501343905916,-4.77831459841708,280.972353053639
78,0.0158575217523228,-0.299026180398021,-4.71594410727772,280.75072185195
79,0.00730083507208219,-0.153298230385946,-5.34028261265457,280.638335501574
80,0.00329685606205895,-0.0764596186529124,-5.58226850184377,280.235956278409
81,0.0279573130134972,-0.377989939527837,-5.14057377050646,280.312866406145
82,0.0285416617453837,-0.460306966591186,-4.46094185768824,280.977613287662
83,0.0157890954343852,-0.309137544629132,-4.69563473051012,282.390232339542
84,0.00589866913114147,-0.146918546760649,-5.28272511761113,281.851875756001
85,0.0133119489718534,-0.207734071427916,-5.33967186803096,280.512299654585
86,0.0102948115830051,-0.169919380336167,-5.56534476949786,281.129241872011
87,0.0114561994698914,-0.210899125830442,-5.32706853710472,282.629034323137
88,0.000506028390155958,-0.0897867664494986,-5.21412690477894,282.260619582204
89,2.63385656661168e-05,-0.0898372573508434,-5.19024906741565,282.536064327088
90,-0.0135454434478276,0.181229839750773,-6.19916828002596,280.222646886907
91,-0.0209184373249277,0.279247819436988,-6.56651098077391,280.205648954082
92,-0.0163073641882992,0.150331014455277,-5.81651853879348,279.701121275281
93,-0.0125513233195748,0.0986355382952554,-5.86249857605499,282.022538610761
94,0.00311405122125218,-0.0705510781879161,-5.62518081009928,280.633366864466
95,0.0151810364027859,-0.295515258678367,-4.81572328326115,281.004616650604
96,0.0206105875695422,-0.355327765169476,-4.8738291378764,281.403006341202
97,0.0167297262230919,-0.30594454233184,-4.80483265730166,280.602002110702
98,0.0222177965562488,-0.399191626208709,-4.49193534475866,281.072517072513
99,0.0247190966164487,-0.393624031157232,-4.89284327164008,281.655033607887
100,-0.00393437249619099,-0.0460192699452306,-5.54283998002277,282.036328886401
101,-0.00918703580373986,0.0823653128603084,-6.24181444526035,281.839036035407
